danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
0.625,0.848,0.105,0.0,0.716,137.993,0,Energetic Dance Tracks
0.625,0.936,0.0457,0.0,0.804,144.01,0,Energetic Dance Tracks
0.625,0.84,0.109,0.000555,0.656,111.02,0,Energetic Dance Tracks
0.625,0.826,0.121,0.0,0.699,99.919,0,Energetic Dance Tracks
0.625,0.786,0.0343,1.05e-06,0.537,119.982,0,Energetic Dance Tracks
0.625,0.804,0.000841,0.0,0.63,126.964,0,Energetic Dance Tracks
0.75,0.888,0.0147,1.11e-06,0.935,115.973,0,Energetic Dance Tracks
0.75,0.789,0.0148,0.0,0.467,135.954,0,Energetic Dance Tracks
0.75,0.831,0.0603,0.0,0.731,76.439,0,Energetic Dance Tracks
0.75,0.463,0.0581,0.0,0.568,126.072,0,Energetic Dance Tracks
0.75,0.636,0.0105,2.48e-06,0.51,129.988,0,Energetic Dance Tracks
0.75,0.543,0.355,0.0,0.652,150.066,0,Energetic Dance Tracks
0.75,0.674,0.228,8.91e-05,0.392,123.026,0,Energetic Dance Tracks
0.75,0.665,0.265,0.0,0.697,95.239,0,Energetic Dance Tracks
0.75,0.683,0.0462,1.32e-06,0.539,111.066,0,Energetic Dance Tracks
0.75,0.677,0.0633,0.0,0.626,127.933,0,Energetic Dance Tracks
0.75,0.458,0.226,3.25e-05,0.536,83.61,0,Energetic Dance Tracks
0.75,0.76,0.187,0.0,0.893,183.817,0,Energetic Dance Tracks
0.75,0.387,0.122,0.0,0.739,143.019,0,Energetic Dance Tracks
0.875,0.598,0.0127,1.86e-06,0.788,96.866,0,Energetic Dance Tracks
0.875,0.531,0.221,0.0,0.22,103.965,0,Energetic Dance Tracks
0.875,0.551,0.0488,0.00728,0.861,146.092,0,Energetic Dance Tracks
0.875,0.843,0.0299,0.0,0.586,136.974,0,Energetic Dance Tracks
0.875,0.478,0.00717,0.0,0.409,128.99,0,Energetic Dance Tracks
0.875,0.645,0.381,0.00537,0.317,96.974,0,Energetic Dance Tracks
0.875,0.673,0.135,0.0,0.231,130.0,0,Energetic Dance Tracks
0.875,0.601,0.0233,0.0,0.649,124.008,0,Energetic Dance Tracks
0.875,0.732,0.0198,0.0,0.159,87.142,0,Energetic Dance Tracks
0.875,0.644,0.267,0.0,0.788,139.086,0,Energetic Dance Tracks
0.372,0.641,0.216,0.0,0.647,67.82,0,Energetic Dance Tracks
0.497,0.927,0.00286,1.26e-06,0.608,96.987,0,Energetic Dance Tracks
0.497,0.94,0.289,0.0,0.95,158.974,0,Energetic Dance Tracks
0.497,0.892,0.0726,0.00345,0.665,100.995,0,Energetic Dance Tracks
0.619,0.754,0.294,3.48e-06,0.589,83.464,0,Energetic Dance Tracks
0.619,0.613,0.0614,0.0,0.483,82.419,0,Energetic Dance Tracks
0.619,0.87,0.41,1.37e-06,0.94,188.772,0,Energetic Dance Tracks
0.619,0.741,0.19,0.0,0.653,83.991,0,Energetic Dance Tracks
0.619,0.882,0.239,0.0,0.897,159.98,0,Energetic Dance Tracks
0.619,0.852,0.00233,0.172,0.533,100.082,0,Energetic Dance Tracks
0.619,0.695,0.336,0.0,0.361,82.155,0,Energetic Dance Tracks
0.619,0.931,0.00456,0.0,0.82,129.957,0,Energetic Dance Tracks
0.619,0.869,0.0178,0.0,0.757,151.684,0,Energetic Dance Tracks
0.744,0.7,0.189,2.74e-06,0.602,165.004,0,Energetic Dance Tracks
0.744,0.766,0.0873,0.0,0.61,127.966,0,Energetic Dance Tracks
0.744,0.62,0.176,0.0,0.701,123.032,0,Energetic Dance Tracks
0.744,0.628,0.0493,0.0,0.539,119.966,0,Energetic Dance Tracks
0.744,0.633,0.0333,0.0,0.549,120.011,0,Energetic Dance Tracks
0.744,0.706,0.235,0.0,0.666,90.021,0,Energetic Dance Tracks
0.744,0.677,0.0388,0.0,0.57,140.991,0,Energetic Dance Tracks
0.744,0.696,0.0535,0.0454,0.563,95.07,0,Energetic Dance Tracks
0.744,0.702,0.264,0.0,0.338,91.885,0,Energetic Dance Tracks
0.744,0.406,0.113,0.0,0.725,89.942,0,Energetic Dance Tracks
0.744,0.789,0.0036,0.00144,0.866,116.985,0,Energetic Dance Tracks
0.744,0.9,0.22,0.0,0.747,109.588,0,Energetic Dance Tracks
0.744,0.697,0.0106,0.0,0.767,149.28,0,Energetic Dance Tracks
0.744,0.859,0.0256,6.27e-05,0.787,91.977,0,Energetic Dance Tracks
0.744,0.495,0.0216,0.0,0.128,83.51,0,Energetic Dance Tracks
0.744,0.775,0.0267,0.0,0.649,106.093,0,Energetic Dance Tracks
0.744,0.738,0.132,1.12e-06,0.478,100.002,0,Energetic Dance Tracks
0.744,0.368,0.0702,0.0,0.391,84.018,0,Energetic Dance Tracks
0.744,0.868,0.0326,0.0,0.586,93.037,0,Energetic Dance Tracks
0.869,0.887,0.0605,0.0,0.784,129.223,0,Energetic Dance Tracks
0.869,0.794,0.0303,3.81e-06,0.656,128.021,0,Energetic Dance Tracks
0.869,0.385,0.135,0.0,0.596,149.897,0,Energetic Dance Tracks
0.869,0.555,0.137,0.0,0.738,112.003,0,Energetic Dance Tracks
0.869,0.505,0.0793,0.0,0.787,120.021,0,Energetic Dance Tracks
0.869,0.718,0.00784,0.0,0.347,101.891,0,Energetic Dance Tracks
0.869,0.555,0.0883,0.0,0.922,95.177,0,Energetic Dance Tracks
0.869,0.626,0.0754,0.0,0.316,131.075,0,Energetic Dance Tracks
0.869,0.59,0.07,0.0,0.479,107.934,0,Energetic Dance Tracks
0.869,0.568,0.0759,0.00344,0.394,111.994,0,Energetic Dance Tracks
0.869,0.616,0.0254,0.0,0.342,145.824,0,Energetic Dance Tracks
0.869,0.694,0.356,0.00125,0.511,90.02,0,Energetic Dance Tracks
0.869,0.772,0.164,0.0,0.812,89.918,0,Energetic Dance Tracks
0.494,0.782,0.0443,0.0,0.44,75.932,0,Energetic Dance Tracks
0.494,0.887,0.00661,0.0,0.548,89.554,0,Energetic Dance Tracks
0.494,0.885,0.000171,0.0,0.471,75.992,0,Energetic Dance Tracks
0.613,0.602,0.228,1.11e-06,0.709,87.389,0,Energetic Dance Tracks
0.613,0.801,0.0626,1.15e-05,0.609,126.966,0,Energetic Dance Tracks
0.613,0.917,0.000398,9.69e-06,0.77,140.001,0,Energetic Dance Tracks
0.613,0.564,0.134,1.65e-06,0.538,78.388,0,Energetic Dance Tracks
0.613,0.84,0.00083,0.0,0.527,104.975,0,Energetic Dance Tracks
0.613,0.778,0.0985,0.0,0.626,129.483,0,Energetic Dance Tracks
0.613,0.574,0.0253,3.13e-05,0.755,125.18,0,Energetic Dance Tracks
0.613,0.622,0.00882,0.0,0.484,80.003,0,Energetic Dance Tracks
0.613,0.857,0.0012,0.0,0.656,124.989,0,Energetic Dance Tracks
0.738,0.914,0.144,0.00099,0.935,127.885,0,Energetic Dance Tracks
0.738,0.614,0.0151,0.0,0.413,110.021,0,Energetic Dance Tracks
0.738,0.71,0.0266,0.0,0.722,151.985,0,Energetic Dance Tracks
0.738,0.983,0.0376,5.98e-06,0.957,92.998,0,Energetic Dance Tracks
0.738,0.658,0.0344,0.0,0.39,128.208,0,Energetic Dance Tracks
0.738,0.952,0.0631,0.0,0.899,122.0,0,Energetic Dance Tracks
0.738,0.482,0.0266,0.621,0.352,93.457,0,Energetic Dance Tracks
0.738,0.763,0.211,0.0,0.483,108.075,0,Energetic Dance Tracks
0.738,0.922,0.0034,0.0,0.689,116.024,0,Energetic Dance Tracks
0.738,0.755,0.0272,0.0,0.19,93.047,0,Energetic Dance Tracks
0.738,0.885,0.0133,0.0,0.752,112.878,0,Energetic Dance Tracks
0.738,0.7,0.312,0.000219,0.825,150.015,0,Energetic Dance Tracks
0.738,0.84,0.00437,0.00629,0.862,107.755,0,Energetic Dance Tracks
0.738,0.804,0.197,0.0,0.791,109.045,0,Energetic Dance Tracks
0.738,0.678,0.176,0.0,0.514,79.002,0,Energetic Dance Tracks
0.738,0.665,0.255,0.000142,0.644,122.546,0,Energetic Dance Tracks
0.863,0.772,0.0167,0.0,0.83,110.514,0,Energetic Dance Tracks
0.863,0.706,0.143,4.43e-05,0.686,140.017,0,Energetic Dance Tracks
0.863,0.515,0.0423,0.0,0.844,82.985,0,Energetic Dance Tracks
0.863,0.576,0.124,0.0,0.832,132.054,0,Energetic Dance Tracks
0.863,0.657,0.266,0.00632,0.829,115.96,0,Energetic Dance Tracks
0.863,0.705,0.05,2.21e-05,0.599,145.099,0,Energetic Dance Tracks
0.863,0.627,0.0485,2.72e-06,0.47,98.042,0,Energetic Dance Tracks
0.863,0.633,0.0118,0.0,0.545,163.991,0,Energetic Dance Tracks
0.863,0.754,0.00125,0.0,0.301,131.001,0,Energetic Dance Tracks
0.491,0.841,0.000609,2.4e-06,0.669,92.297,0,Energetic Dance Tracks
0.607,0.76,0.0292,0.0,0.414,93.954,0,Energetic Dance Tracks
0.607,0.914,0.0163,0.0,0.716,95.257,0,Energetic Dance Tracks
0.607,0.609,0.389,1.6e-05,0.556,74.946,0,Energetic Dance Tracks
0.607,0.703,0.437,0.0092,0.494,101.64,0,Energetic Dance Tracks
0.607,0.829,0.0103,0.0,0.685,96.172,0,Energetic Dance Tracks
0.607,0.829,0.0421,0.000348,0.669,125.917,0,Energetic Dance Tracks
0.607,0.876,0.371,0.0,0.886,121.043,0,Energetic Dance Tracks
0.607,0.889,0.0103,0.0,0.863,102.997,0,Energetic Dance Tracks
0.607,0.912,0.124,0.0,0.722,134.944,0,Energetic Dance Tracks
0.607,0.837,0.109,0.0,0.604,81.486,0,Energetic Dance Tracks
0.607,0.82,0.0541,6.8e-05,0.768,126.988,0,Energetic Dance Tracks
0.732,0.719,0.0901,0.0,0.71,96.035,0,Energetic Dance Tracks
0.732,0.549,0.163,6.01e-05,0.479,131.006,0,Energetic Dance Tracks
0.732,0.899,0.00496,4.64e-05,0.759,127.091,0,Energetic Dance Tracks
0.732,0.69,0.291,0.0,0.758,143.072,0,Energetic Dance Tracks
0.732,0.517,0.134,1.47e-06,0.595,76.991,0,Energetic Dance Tracks
0.732,0.396,0.0841,3.58e-05,0.548,90.024,0,Energetic Dance Tracks
0.732,0.627,0.346,0.0,0.332,81.481,0,Energetic Dance Tracks
0.732,0.788,0.17,0.0,0.528,128.985,0,Energetic Dance Tracks
0.732,0.799,0.0143,0.00134,0.67,127.991,0,Energetic Dance Tracks
0.732,0.855,0.306,0.0,0.221,106.004,0,Energetic Dance Tracks
0.732,0.708,0.534,0.0,0.717,175.924,0,Energetic Dance Tracks
0.732,0.639,0.0138,0.0,0.52,144.972,0,Energetic Dance Tracks
0.732,0.925,0.0276,0.000238,0.782,127.012,0,Energetic Dance Tracks
0.732,0.628,0.125,0.0,0.84,150.053,0,Energetic Dance Tracks
0.732,0.707,0.0348,0.0,0.832,140.04,0,Energetic Dance Tracks
0.732,0.584,0.00903,0.0,0.262,103.981,0,Energetic Dance Tracks
0.732,0.586,0.0402,2.66e-06,0.73,76.48,0,Energetic Dance Tracks
0.857,0.62,0.646,0.244,0.796,120.042,0,Energetic Dance Tracks
0.857,0.787,0.132,0.0,0.836,122.074,0,Energetic Dance Tracks
0.857,0.558,0.0122,4.8e-05,0.453,123.973,0,Energetic Dance Tracks
0.857,0.465,0.117,0.0,0.495,153.04,0,Energetic Dance Tracks
0.857,0.386,0.243,0.0931,0.661,125.017,0,Energetic Dance Tracks
0.857,0.544,0.0202,0.0,0.48,140.173,0,Energetic Dance Tracks
0.857,0.751,0.00642,0.000257,0.293,106.888,0,Energetic Dance Tracks
0.601,0.92,0.000735,0.0,0.537,88.014,0,Energetic Dance Tracks
0.601,0.806,0.0527,0.0,0.711,89.87,0,Energetic Dance Tracks
0.601,0.74,0.0501,0.0,0.592,81.184,0,Energetic Dance Tracks
0.726,0.802,0.0592,0.0,0.707,100.008,0,Energetic Dance Tracks
0.726,0.712,0.0175,1.07e-05,0.961,120.003,0,Energetic Dance Tracks
0.726,0.701,0.0708,0.0,0.673,146.575,0,Energetic Dance Tracks
0.726,0.607,0.0389,0.0,0.891,81.997,0,Energetic Dance Tracks
0.726,0.775,0.217,0.0,0.777,127.943,0,Energetic Dance Tracks
0.726,0.747,0.0935,0.0,0.889,121.928,0,Energetic Dance Tracks
0.726,0.779,0.0137,0.000235,0.539,119.031,0,Energetic Dance Tracks
0.726,0.787,0.009,0.0,0.888,124.99,0,Energetic Dance Tracks
0.726,0.505,0.0962,0.0,0.335,75.97,0,Energetic Dance Tracks
0.726,0.586,0.0686,0.00508,0.262,83.081,0,Energetic Dance Tracks
0.726,0.62,0.0278,0.0,0.943,150.042,0,Energetic Dance Tracks
0.726,0.698,0.049,0.0,0.867,143.994,0,Energetic Dance Tracks
0.726,0.769,0.0293,0.0101,0.733,97.985,0,Energetic Dance Tracks
0.726,0.824,0.584,1.14e-06,0.382,130.118,0,Energetic Dance Tracks
0.726,0.535,0.0533,1.38e-05,0.375,98.067,0,Energetic Dance Tracks
0.726,0.834,0.152,0.683,0.561,130.04,0,Energetic Dance Tracks
0.726,0.631,0.22,0.0,0.746,124.711,0,Energetic Dance Tracks
0.726,0.89,0.00966,0.0,0.886,127.996,0,Energetic Dance Tracks
0.726,0.728,0.239,0.0,0.566,115.047,0,Energetic Dance Tracks
0.726,0.501,0.155,0.0,0.582,128.099,0,Energetic Dance Tracks
0.851,0.598,0.000595,0.0,0.654,180.046,0,Energetic Dance Tracks
0.851,0.764,0.0888,0.0,0.535,153.019,0,Energetic Dance Tracks
0.851,0.806,0.119,1.72e-06,0.774,119.001,0,Energetic Dance Tracks
0.851,0.703,0.00949,2.57e-05,0.596,74.017,0,Energetic Dance Tracks
0.851,0.43,0.000213,0.887,0.504,128.049,0,Energetic Dance Tracks
0.851,0.652,0.0317,0.0,0.696,119.944,0,Energetic Dance Tracks
0.851,0.647,0.00147,0.00251,0.318,126.016,0,Energetic Dance Tracks
0.851,0.621,0.0233,0.0,0.532,150.969,0,Energetic Dance Tracks
0.851,0.849,0.497,2.05e-06,0.844,120.014,0,Energetic Dance Tracks
0.851,0.726,0.0456,0.0,0.659,103.817,0,Energetic Dance Tracks
0.851,0.629,0.00705,0.000372,0.789,125.984,0,Energetic Dance Tracks
0.485,0.911,8.67e-05,0.0,0.568,89.956,0,Energetic Dance Tracks
0.485,0.834,0.0665,0.0,0.659,90.933,0,Energetic Dance Tracks
0.485,0.555,0.132,0.0,0.617,80.015,0,Energetic Dance Tracks
0.595,0.932,0.0691,0.000329,0.672,119.81,0,Energetic Dance Tracks
0.595,0.823,0.0385,1.35e-06,0.745,108.99,0,Energetic Dance Tracks
0.595,0.715,0.0374,0.0,0.722,134.498,0,Energetic Dance Tracks
0.595,0.904,0.03,4.43e-05,0.6,102.002,0,Energetic Dance Tracks
0.595,0.639,0.0663,0.0,0.7,95.912,0,Energetic Dance Tracks
0.595,0.923,0.0693,0.0,0.782,125.029,0,Energetic Dance Tracks
0.595,0.679,0.0269,0.0,0.643,97.421,0,Energetic Dance Tracks
0.595,0.912,0.0434,0.0,0.762,128.024,0,Energetic Dance Tracks
0.72,0.844,0.00724,0.00017,0.864,92.489,0,Energetic Dance Tracks
0.72,0.537,0.0924,0.000113,0.198,88.002,0,Energetic Dance Tracks
0.72,0.548,0.00269,0.000118,0.709,99.004,0,Energetic Dance Tracks
0.72,0.808,0.00793,0.0293,0.869,126.041,0,Energetic Dance Tracks
0.72,0.513,0.118,0.0,0.304,89.004,0,Energetic Dance Tracks
0.72,0.734,0.0856,0.0,0.37,115.999,0,Energetic Dance Tracks
0.72,0.672,0.009,0.0,0.705,124.986,0,Energetic Dance Tracks
0.72,0.913,0.00303,6.24e-05,0.8,124.997,0,Energetic Dance Tracks
0.72,0.909,0.0904,0.0,0.877,91.022,0,Energetic Dance Tracks
0.72,0.668,0.0653,0.00675,0.769,123.005,0,Energetic Dance Tracks
0.72,0.767,0.0387,0.0,0.595,88.966,0,Energetic Dance Tracks
0.72,0.715,0.258,0.0568,0.357,107.041,0,Energetic Dance Tracks
0.72,0.744,0.237,0.0,0.619,78.953,0,Energetic Dance Tracks
0.72,0.791,0.0384,0.0,0.756,102.071,0,Energetic Dance Tracks
0.72,0.654,0.227,0.0,0.411,106.976,0,Energetic Dance Tracks
0.72,0.706,0.0684,0.0,0.62,133.002,0,Energetic Dance Tracks
0.845,0.766,0.212,0.0,0.782,114.054,0,Energetic Dance Tracks
0.845,0.567,0.59,0.00142,0.793,125.02,0,Energetic Dance Tracks
0.845,0.705,0.0218,0.0,0.334,132.05,0,Energetic Dance Tracks
0.845,0.864,0.577,0.000896,0.959,166.531,0,Energetic Dance Tracks
0.845,0.801,0.251,0.0,0.666,107.012,0,Energetic Dance Tracks
0.845,0.565,0.0112,0.0,0.625,79.972,0,Energetic Dance Tracks
0.845,0.503,0.027,0.0,0.416,147.031,0,Energetic Dance Tracks
0.845,0.467,0.0586,0.0,0.702,138.007,0,Energetic Dance Tracks
0.845,0.561,0.211,3.49e-06,0.811,109.974,0,Energetic Dance Tracks
0.97,0.463,0.0957,0.0,0.46,108.003,0,Energetic Dance Tracks
0.482,0.847,0.081,0.0,0.592,76.01,0,Energetic Dance Tracks
0.589,0.713,0.000778,0.0,0.54,97.069,0,Energetic Dance Tracks
0.589,0.893,0.0273,0.0,0.94,92.011,0,Energetic Dance Tracks
0.589,0.913,0.0133,0.0,0.805,131.979,0,Energetic Dance Tracks
0.589,0.809,0.231,0.0,0.496,88.965,0,Energetic Dance Tracks
0.589,0.89,0.000481,0.00082,0.687,90.586,0,Energetic Dance Tracks
0.589,0.952,0.0327,0.00103,0.771,119.967,0,Energetic Dance Tracks
0.589,0.704,0.151,0.0,0.437,84.956,0,Energetic Dance Tracks
0.589,0.923,0.00252,0.000214,0.641,108.501,0,Energetic Dance Tracks
0.589,0.655,0.057,0.000353,0.675,105.272,0,Energetic Dance Tracks
0.589,0.867,0.041,0.0,0.795,94.52,0,Energetic Dance Tracks
0.714,0.774,0.219,0.0,0.887,125.199,0,Energetic Dance Tracks
0.714,0.665,0.0996,0.0,0.842,78.515,0,Energetic Dance Tracks
0.714,0.834,0.0335,0.0,0.873,169.088,0,Energetic Dance Tracks
0.714,0.582,0.0129,0.0,0.338,92.819,0,Energetic Dance Tracks
0.714,0.833,0.00249,0.0,0.663,129.964,0,Energetic Dance Tracks
0.714,0.6,0.0465,0.0,0.504,82.017,0,Energetic Dance Tracks
0.714,0.862,0.0305,0.0,0.887,92.849,0,Energetic Dance Tracks
0.714,0.67,0.341,1.89e-06,0.771,82.008,0,Energetic Dance Tracks
0.714,0.766,0.0144,0.0,0.597,124.998,0,Energetic Dance Tracks
0.714,0.645,0.229,0.00083,0.434,85.046,0,Energetic Dance Tracks
