danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
0.375,0.75,0.345,9.15e-06,0.565,178.636,1,Relaxing Acoustic Tunes
0.375,0.856,5.31e-05,0.000682,0.672,117.112,1,Relaxing Acoustic Tunes
0.5,0.748,0.00291,0.0,0.448,148.009,1,Relaxing Acoustic Tunes
0.5,0.9,0.205,0.000251,0.675,162.249,1,Relaxing Acoustic Tunes
0.5,0.803,0.11,2.12e-05,0.451,150.058,1,Relaxing Acoustic Tunes
0.5,0.609,0.0822,0.000255,0.562,145.88,1,Relaxing Acoustic Tunes
0.5,0.71,0.19,0.00025,0.419,89.929,1,Relaxing Acoustic Tunes
0.5,0.899,4.84e-05,0.000198,0.566,130.06,1,Relaxing Acoustic Tunes
0.5,0.723,0.00197,0.0,0.369,155.849,1,Relaxing Acoustic Tunes
0.5,0.619,0.263,1.42e-05,0.569,145.367,1,Relaxing Acoustic Tunes
0.5,0.889,0.0014,0.0,0.428,132.713,1,Relaxing Acoustic Tunes
0.5,0.847,0.00123,0.0,0.715,125.966,1,Relaxing Acoustic Tunes
0.5,0.845,0.00184,0.0,0.539,95.199,1,Relaxing Acoustic Tunes
0.5,0.767,0.161,9.95e-05,0.58,159.477,1,Relaxing Acoustic Tunes
0.625,0.591,0.0391,0.0,0.192,86.074,1,Relaxing Acoustic Tunes
0.625,0.569,0.26,0.0,0.361,149.987,1,Relaxing Acoustic Tunes
0.625,0.733,0.00598,0.000983,0.244,172.09,1,Relaxing Acoustic Tunes
0.625,0.842,0.264,2.12e-05,0.26,111.038,1,Relaxing Acoustic Tunes
0.625,0.825,0.0621,0.0,0.341,100.004,1,Relaxing Acoustic Tunes
0.625,0.686,0.0154,0.0499,0.556,139.817,1,Relaxing Acoustic Tunes
0.625,0.576,0.0543,4.07e-05,0.235,179.063,1,Relaxing Acoustic Tunes
0.625,0.698,0.066,0.0,0.36,116.028,1,Relaxing Acoustic Tunes
0.625,0.948,0.396,0.00266,0.177,108.993,1,Relaxing Acoustic Tunes
0.75,0.567,0.137,0.0,0.398,151.895,1,Relaxing Acoustic Tunes
0.75,0.727,0.0188,0.0,0.359,129.992,1,Relaxing Acoustic Tunes
0.75,0.641,0.0207,0.000114,0.106,141.92,1,Relaxing Acoustic Tunes
0.75,0.573,0.137,1.89e-05,0.303,143.948,1,Relaxing Acoustic Tunes
0.875,0.599,0.0333,0.0143,0.112,152.061,1,Relaxing Acoustic Tunes
0.875,0.6,0.0189,0.0143,0.0906,119.987,1,Relaxing Acoustic Tunes
0.372,0.872,0.0185,0.0,0.65,173.525,1,Relaxing Acoustic Tunes
0.372,0.525,0.0457,0.00313,0.171,144.95,1,Relaxing Acoustic Tunes
0.497,0.568,0.0788,0.0,0.386,138.107,1,Relaxing Acoustic Tunes
0.497,0.468,0.0817,0.0,0.285,133.789,1,Relaxing Acoustic Tunes
0.497,0.886,0.00929,9.77e-05,0.508,100.118,1,Relaxing Acoustic Tunes
0.497,0.89,0.002,0.0,0.604,135.089,1,Relaxing Acoustic Tunes
0.497,0.897,0.00635,0.0,0.539,142.007,1,Relaxing Acoustic Tunes
0.497,0.484,0.27,0.0,0.0659,146.015,1,Relaxing Acoustic Tunes
0.497,0.797,0.236,2.81e-06,0.397,202.085,1,Relaxing Acoustic Tunes
0.497,0.717,0.201,0.0,0.771,168.999,1,Relaxing Acoustic Tunes
0.497,0.932,0.0678,2.5e-06,0.774,157.884,1,Relaxing Acoustic Tunes
0.497,0.987,0.0308,0.00463,0.455,144.013,1,Relaxing Acoustic Tunes
0.497,0.701,0.0507,0.0,0.376,172.126,1,Relaxing Acoustic Tunes
0.497,0.816,0.217,0.0,0.512,169.966,1,Relaxing Acoustic Tunes
0.497,0.644,0.188,0.0,0.779,162.542,1,Relaxing Acoustic Tunes
0.497,0.97,9.04e-05,0.000674,0.689,138.081,1,Relaxing Acoustic Tunes
0.497,0.731,0.00085,6.96e-06,0.558,115.988,1,Relaxing Acoustic Tunes
0.497,0.489,0.0576,9.91e-05,0.231,171.853,1,Relaxing Acoustic Tunes
0.619,0.701,0.135,0.0,0.45,129.897,1,Relaxing Acoustic Tunes
0.619,0.668,0.0799,0.0,0.147,76.514,1,Relaxing Acoustic Tunes
0.619,0.622,0.0935,0.0,0.194,150.062,1,Relaxing Acoustic Tunes
0.619,0.709,0.00541,0.0,0.68,144.972,1,Relaxing Acoustic Tunes
0.619,0.69,0.0931,0.0,0.333,133.932,1,Relaxing Acoustic Tunes
0.619,0.87,0.000288,0.802,0.458,121.962,1,Relaxing Acoustic Tunes
0.619,0.888,0.011,0.0,0.441,124.029,1,Relaxing Acoustic Tunes
0.619,0.972,0.13,0.0,0.584,169.04,1,Relaxing Acoustic Tunes
0.619,0.799,0.17,0.0,0.709,156.158,1,Relaxing Acoustic Tunes
0.619,0.606,0.0268,0.0,0.0669,140.023,1,Relaxing Acoustic Tunes
0.619,0.784,0.0326,2.85e-06,0.471,156.035,1,Relaxing Acoustic Tunes
0.744,0.608,0.0295,0.0,0.0692,130.045,1,Relaxing Acoustic Tunes
0.744,0.577,0.0672,3.06e-06,0.0805,135.869,1,Relaxing Acoustic Tunes
0.744,0.672,0.187,0.000123,0.266,140.891,1,Relaxing Acoustic Tunes
0.744,0.687,0.155,0.0,0.283,143.936,1,Relaxing Acoustic Tunes
0.744,0.422,0.0319,0.00011,0.493,180.006,1,Relaxing Acoustic Tunes
0.369,0.567,0.112,5.12e-06,0.34,125.991,1,Relaxing Acoustic Tunes
0.369,0.971,0.15,0.00261,0.758,114.049,1,Relaxing Acoustic Tunes
0.369,0.996,3.83e-05,0.14,0.209,98.162,1,Relaxing Acoustic Tunes
0.369,0.528,0.307,0.0,0.336,153.898,1,Relaxing Acoustic Tunes
0.494,0.849,0.0748,0.00152,0.512,181.428,1,Relaxing Acoustic Tunes
0.494,0.956,0.0266,3.58e-05,0.772,171.977,1,Relaxing Acoustic Tunes
0.494,0.935,0.000316,0.0,0.347,150.088,1,Relaxing Acoustic Tunes
0.494,0.689,0.0687,7.68e-05,0.472,142.092,1,Relaxing Acoustic Tunes
0.494,0.87,0.0707,2.98e-05,0.504,146.882,1,Relaxing Acoustic Tunes
0.494,0.672,0.0273,0.0,0.557,156.208,1,Relaxing Acoustic Tunes
0.494,0.833,0.00948,0.0,0.339,105.009,1,Relaxing Acoustic Tunes
0.494,0.861,0.257,0.0,0.668,172.052,1,Relaxing Acoustic Tunes
0.494,0.843,0.00611,1.21e-05,0.398,153.963,1,Relaxing Acoustic Tunes
0.494,0.842,0.00579,0.0,0.574,162.011,1,Relaxing Acoustic Tunes
0.494,0.634,0.259,1.15e-06,0.28,156.03,1,Relaxing Acoustic Tunes
0.494,0.649,0.0428,0.0122,0.0397,140.011,1,Relaxing Acoustic Tunes
0.494,0.951,0.000569,0.0,0.441,160.025,1,Relaxing Acoustic Tunes
0.494,0.708,0.00168,0.0199,0.582,113.995,1,Relaxing Acoustic Tunes
0.494,0.939,0.00666,0.0,0.893,177.751,1,Relaxing Acoustic Tunes
0.494,0.771,0.0649,0.0,0.371,136.053,1,Relaxing Acoustic Tunes
0.613,0.697,0.0194,0.0,0.476,122.746,1,Relaxing Acoustic Tunes
0.613,0.634,0.0178,0.0,0.37,144.953,1,Relaxing Acoustic Tunes
0.613,0.764,0.0527,0.0,0.417,160.015,1,Relaxing Acoustic Tunes
0.613,0.857,0.29,0.0,0.349,102.261,1,Relaxing Acoustic Tunes
0.613,0.631,0.0663,0.0,0.33,149.992,1,Relaxing Acoustic Tunes
0.613,0.797,0.0185,0.0,0.336,145.011,1,Relaxing Acoustic Tunes
0.613,0.803,0.000525,0.000333,0.461,127.989,1,Relaxing Acoustic Tunes
0.613,0.573,0.00572,2.58e-06,0.124,119.041,1,Relaxing Acoustic Tunes
0.613,0.765,0.082,1.25e-06,0.299,103.951,1,Relaxing Acoustic Tunes
0.613,0.667,0.356,1.29e-05,0.481,130.023,1,Relaxing Acoustic Tunes
0.738,0.824,0.148,0.0,0.386,138.033,1,Relaxing Acoustic Tunes
0.738,0.868,0.0392,0.00169,0.336,122.003,1,Relaxing Acoustic Tunes
0.738,0.868,0.0371,0.0,0.199,130.003,1,Relaxing Acoustic Tunes
0.183,0.664,0.148,2.12e-06,0.4,179.825,1,Relaxing Acoustic Tunes
0.366,0.715,0.203,0.0,0.316,161.044,1,Relaxing Acoustic Tunes
0.366,0.651,0.000415,0.00526,0.257,151.343,1,Relaxing Acoustic Tunes
0.366,0.866,0.0274,3.07e-06,0.293,176.07,1,Relaxing Acoustic Tunes
0.366,0.847,2.64e-05,0.0,0.606,166.17,1,Relaxing Acoustic Tunes
0.366,0.492,0.0899,0.000994,0.349,197.768,1,Relaxing Acoustic Tunes
0.366,0.94,0.000769,9.42e-05,0.369,130.198,1,Relaxing Acoustic Tunes
0.366,0.667,0.00212,0.0,0.51,76.627,1,Relaxing Acoustic Tunes
0.366,0.797,0.0157,0.0,0.181,169.986,1,Relaxing Acoustic Tunes
0.491,0.748,0.0128,0.0,0.379,165.996,1,Relaxing Acoustic Tunes
0.491,0.693,0.211,6.92e-06,0.412,90.027,1,Relaxing Acoustic Tunes
0.491,0.688,0.0849,0.0,0.279,140.072,1,Relaxing Acoustic Tunes
0.491,0.904,0.0998,0.0,0.581,150.023,1,Relaxing Acoustic Tunes
0.491,0.867,0.167,0.0,0.602,167.965,1,Relaxing Acoustic Tunes
0.491,0.907,0.0491,0.0,0.631,199.943,1,Relaxing Acoustic Tunes
0.491,0.956,0.0295,0.0,0.811,173.585,1,Relaxing Acoustic Tunes
0.491,0.588,0.0281,2.01e-06,0.193,113.608,1,Relaxing Acoustic Tunes
0.607,0.941,0.0217,0.071,0.414,144.04,1,Relaxing Acoustic Tunes
0.607,0.807,0.0067,1.18e-06,0.565,128.046,1,Relaxing Acoustic Tunes
0.607,0.775,0.262,0.0,0.307,164.026,1,Relaxing Acoustic Tunes
0.607,0.565,0.0824,0.0,0.373,107.981,1,Relaxing Acoustic Tunes
0.607,0.733,0.000486,1.59e-06,0.57,140.097,1,Relaxing Acoustic Tunes
0.607,0.816,0.00136,0.0,0.57,133.992,1,Relaxing Acoustic Tunes
0.607,0.762,0.0441,0.0,0.428,144.961,1,Relaxing Acoustic Tunes
0.607,0.622,0.0187,0.0,0.537,146.105,1,Relaxing Acoustic Tunes
0.732,0.678,0.0867,2.41e-05,0.196,100.626,1,Relaxing Acoustic Tunes
0.732,0.462,0.126,0.0,0.117,180.067,1,Relaxing Acoustic Tunes
0.732,0.6,0.00385,0.000114,0.436,167.973,1,Relaxing Acoustic Tunes
0.732,0.663,0.0819,0.0,0.227,139.964,1,Relaxing Acoustic Tunes
0.732,0.683,0.0567,0.0,0.583,160.002,1,Relaxing Acoustic Tunes
0.732,0.387,0.0493,0.0,0.242,157.875,1,Relaxing Acoustic Tunes
0.732,0.75,0.00264,0.0,0.401,155.096,1,Relaxing Acoustic Tunes
0.363,0.618,0.00038,2.41e-05,0.412,82.939,1,Relaxing Acoustic Tunes
0.363,0.71,0.216,0.0,0.383,170.113,1,Relaxing Acoustic Tunes
0.363,0.891,0.00992,0.00183,0.331,95.089,1,Relaxing Acoustic Tunes
0.363,0.906,0.0122,0.0,0.37,181.964,1,Relaxing Acoustic Tunes
0.488,0.713,0.0569,0.0,0.483,167.973,1,Relaxing Acoustic Tunes
0.488,0.923,0.129,0.0,0.818,183.891,1,Relaxing Acoustic Tunes
0.488,0.569,0.076,1.06e-06,0.153,71.92,1,Relaxing Acoustic Tunes
0.488,0.744,0.0353,0.0,0.59,180.007,1,Relaxing Acoustic Tunes
0.488,0.644,0.132,4.01e-05,0.33,121.861,1,Relaxing Acoustic Tunes
0.488,0.917,0.0897,3.25e-06,0.772,156.053,1,Relaxing Acoustic Tunes
0.488,0.769,0.00802,0.00881,0.267,142.071,1,Relaxing Acoustic Tunes
0.488,0.87,0.00353,0.0,0.211,110.072,1,Relaxing Acoustic Tunes
0.488,0.848,0.286,4.77e-05,0.33,161.005,1,Relaxing Acoustic Tunes
0.488,0.586,0.121,0.0,0.533,158.405,1,Relaxing Acoustic Tunes
0.488,0.855,0.287,0.0,0.799,148.971,1,Relaxing Acoustic Tunes
0.488,0.482,0.125,0.0,0.318,158.669,1,Relaxing Acoustic Tunes
0.488,0.673,0.109,0.86,0.188,163.987,1,Relaxing Acoustic Tunes
0.488,0.635,0.179,8.16e-06,0.783,174.072,1,Relaxing Acoustic Tunes
0.488,0.833,0.0352,0.0168,0.751,174.008,1,Relaxing Acoustic Tunes
0.601,0.787,0.0492,0.0,0.525,134.981,1,Relaxing Acoustic Tunes
0.601,0.843,0.000704,5.27e-05,0.534,128.002,1,Relaxing Acoustic Tunes
0.601,0.741,0.185,2.91e-05,0.441,153.96,1,Relaxing Acoustic Tunes
0.601,0.59,0.018,0.856,0.323,169.766,1,Relaxing Acoustic Tunes
0.601,0.621,0.0374,1.75e-06,0.278,94.547,1,Relaxing Acoustic Tunes
0.601,0.794,0.00987,1.36e-06,0.244,114.066,1,Relaxing Acoustic Tunes
0.601,0.612,0.0508,0.0,0.517,154.977,1,Relaxing Acoustic Tunes
0.601,0.768,0.141,0.0,0.634,152.45,1,Relaxing Acoustic Tunes
0.726,0.444,0.283,0.143,0.569,185.044,1,Relaxing Acoustic Tunes
0.851,0.313,0.0667,0.943,0.361,146.291,1,Relaxing Acoustic Tunes
0.851,0.666,0.139,0.0,0.0585,134.068,1,Relaxing Acoustic Tunes
0.851,0.702,0.0854,0.0,0.179,126.94,1,Relaxing Acoustic Tunes
0.36,0.863,0.0015,0.0,0.472,160.063,1,Relaxing Acoustic Tunes
0.485,0.846,0.393,0.00115,0.548,157.918,1,Relaxing Acoustic Tunes
0.485,0.776,0.00225,0.000102,0.26,153.055,1,Relaxing Acoustic Tunes
0.485,0.781,0.000674,2.64e-06,0.189,102.372,1,Relaxing Acoustic Tunes
0.485,0.726,0.0603,1.75e-05,0.288,140.781,1,Relaxing Acoustic Tunes
0.485,0.71,0.0444,0.0,0.473,170.942,1,Relaxing Acoustic Tunes
0.485,0.701,0.039,0.0,0.613,151.948,1,Relaxing Acoustic Tunes
0.485,0.814,0.217,0.0,0.327,159.894,1,Relaxing Acoustic Tunes
0.485,0.656,0.0346,0.0,0.106,140.107,1,Relaxing Acoustic Tunes
0.485,0.723,0.541,1.12e-06,0.541,167.845,1,Relaxing Acoustic Tunes
0.595,0.932,0.0318,6.16e-06,0.221,178.817,1,Relaxing Acoustic Tunes
0.595,0.829,0.00594,0.000101,0.501,113.319,1,Relaxing Acoustic Tunes
0.595,0.528,0.082,0.0,0.515,150.075,1,Relaxing Acoustic Tunes
0.595,0.667,0.296,0.0,0.275,121.943,1,Relaxing Acoustic Tunes
0.595,0.653,0.246,0.0,0.542,128.93,1,Relaxing Acoustic Tunes
0.595,0.656,0.148,0.0,0.416,99.811,1,Relaxing Acoustic Tunes
