track_id,danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
23bEisUvcSmIELLy4CMhkN,0.375,0.75,0.345,9.15e-06,0.565,178.636,1,Relaxing Acoustic Tunes
41RxdTltq3TM5AbOLHVR28,0.375,0.856,5.31e-05,0.000682,0.672,117.112,1,Relaxing Acoustic Tunes
3kXH9BQq0TyNliiP1MIE6N,0.5,0.748,0.00291,0.0,0.448,148.009,1,Relaxing Acoustic Tunes
7xoBJ4hih949Jeu5ZfzBai,0.5,0.9,0.205,0.000251,0.675,162.249,1,Relaxing Acoustic Tunes
0CfPMZ1DSdzglsMRpLDM2H,0.5,0.803,0.11,2.12e-05,0.451,150.058,1,Relaxing Acoustic Tunes
2gL2Pm7OJkk0X5neLyqiKB,0.5,0.609,0.0822,0.000255,0.562,145.88,1,Relaxing Acoustic Tunes
3LlAyCYU26dvFZBDUIMb7a,0.5,0.71,0.19,0.00025,0.419,89.929,1,Relaxing Acoustic Tunes
06Zz2l7cVTCTgCNDe1bnEF,0.5,0.899,4.84e-05,0.000198,0.566,130.06,1,Relaxing Acoustic Tunes
7hiM6KgXyAts8YXxNu9G9y,0.5,0.723,0.00197,0.0,0.369,155.849,1,Relaxing Acoustic Tunes
550bzTUwGQIhotK33gVvEg,0.5,0.619,0.263,1.42e-05,0.569,145.367,1,Relaxing Acoustic Tunes
7vOjTY220BqIttYDbwshED,0.5,0.889,0.0014,0.0,0.428,132.713,1,Relaxing Acoustic Tunes
6tVwi09OwB7zVYV0NUajeP,0.5,0.847,0.00123,0.0,0.715,125.966,1,Relaxing Acoustic Tunes
1GwVi2ceNb8dMFA3DZGnnY,0.5,0.845,0.00184,0.0,0.539,95.199,1,Relaxing Acoustic Tunes
71d7LaAgPcNcUopu3OzmP7,0.5,0.767,0.161,9.95e-05,0.58,159.477,1,Relaxing Acoustic Tunes
0nJZDtAaqO7o9mb6YoBfqO,0.625,0.591,0.0391,0.0,0.192,86.074,1,Relaxing Acoustic Tunes
6tbNaE7kvGNqS7FvJ0dzLB,0.625,0.569,0.26,0.0,0.361,149.987,1,Relaxing Acoustic Tunes
52eIcoLUM25zbQupAZYoFh,0.625,0.733,0.00598,0.000983,0.244,172.09,1,Relaxing Acoustic Tunes
1z3ugFmUKoCzGsI6jdY4Ci,0.625,0.842,0.264,2.12e-05,0.26,111.038,1,Relaxing Acoustic Tunes
13wYXGimJ5fANFu0y2pqG1,0.625,0.825,0.0621,0.0,0.341,100.004,1,Relaxing Acoustic Tunes
3mtukCAgd0mE260QcBfXAX,0.625,0.686,0.0154,0.0499,0.556,139.817,1,Relaxing Acoustic Tunes
25cUhiAod71TIQSNicOaW3,0.625,0.576,0.0543,4.07e-05,0.235,179.063,1,Relaxing Acoustic Tunes
401olpZBrdF03wa5lJfgdy,0.625,0.698,0.066,0.0,0.36,116.028,1,Relaxing Acoustic Tunes
7GgzqbrToXcicwk4yBS1BN,0.625,0.948,0.396,0.00266,0.177,108.993,1,Relaxing Acoustic Tunes
4AEzAEnbm9uRgbmTdeI63K,0.75,0.567,0.137,0.0,0.398,151.895,1,Relaxing Acoustic Tunes
0IkKz2J93C94Ei4BvDop7P,0.75,0.727,0.0188,0.0,0.359,129.992,1,Relaxing Acoustic Tunes
2fpTRcMLt4aKlqULOwuXUP,0.75,0.641,0.0207,0.000114,0.106,141.92,1,Relaxing Acoustic Tunes
0gu5B9dUOiLezdDjrLPCCV,0.75,0.573,0.137,1.89e-05,0.303,143.948,1,Relaxing Acoustic Tunes
1OuN92HcVG6NVpWbeESNB3,0.875,0.599,0.0333,0.0143,0.112,152.061,1,Relaxing Acoustic Tunes
2jTujnt0y344ai1rNOywgr,0.875,0.6,0.0189,0.0143,0.0906,119.987,1,Relaxing Acoustic Tunes
6QUs5z2uEbSGZJpPGMfgQA,0.372,0.872,0.0185,0.0,0.65,173.525,1,Relaxing Acoustic Tunes
1sOW4PuG5X3Ie3EXUhAopJ,0.372,0.525,0.0457,0.00313,0.171,144.95,1,Relaxing Acoustic Tunes
