danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
0.0,0.532,0.976,0.0,0.0,0.0,2,Upbeat Happy Songs
0.25,0.215,0.632,0.0717,0.0746,174.824,2,Upbeat Happy Songs
0.25,0.136,0.673,0.000157,0.0981,118.086,2,Upbeat Happy Songs
0.375,0.133,0.651,0.0,0.192,131.721,2,Upbeat Happy Songs
0.375,0.428,0.109,0.0,0.361,78.516,2,Upbeat Happy Songs
0.375,0.556,0.4,0.0,0.397,111.827,2,Upbeat Happy Songs
0.5,0.449,0.422,7.96e-06,0.104,144.206,2,Upbeat Happy Songs
0.5,0.638,0.66,0.0,0.698,81.145,2,Upbeat Happy Songs
0.625,0.414,0.294,0.0,0.669,130.088,2,Upbeat Happy Songs
0.625,0.581,0.553,0.00111,0.267,142.04,2,Upbeat Happy Songs
0.625,0.563,0.437,5.05e-06,0.364,120.023,2,Upbeat Happy Songs
0.75,0.404,0.216,0.000357,0.0499,95.045,2,Upbeat Happy Songs
0.372,0.285,0.812,0.0,0.115,126.498,2,Upbeat Happy Songs
0.372,0.478,0.482,0.0,0.254,101.102,2,Upbeat Happy Songs
0.497,0.351,0.764,1.5e-06,0.492,105.032,2,Upbeat Happy Songs
0.497,0.386,0.784,0.927,0.695,81.774,2,Upbeat Happy Songs
0.497,0.176,0.923,0.0,0.429,168.06,2,Upbeat Happy Songs
0.497,0.0971,0.951,0.0,0.396,141.555,2,Upbeat Happy Songs
0.619,0.619,0.407,0.0,0.393,125.752,2,Upbeat Happy Songs
0.619,0.542,0.288,0.0,0.308,99.824,2,Upbeat Happy Songs
0.619,0.564,0.673,0.0,0.419,129.944,2,Upbeat Happy Songs
0.619,0.241,0.9,0.0,0.0719,79.461,2,Upbeat Happy Songs
0.619,0.589,0.43,0.000392,0.158,143.896,2,Upbeat Happy Songs
0.744,0.396,0.509,0.00319,0.18,102.969,2,Upbeat Happy Songs
0.744,0.619,0.598,0.00372,0.641,112.997,2,Upbeat Happy Songs
0.744,0.43,0.455,2.73e-06,0.266,92.039,2,Upbeat Happy Songs
0.744,0.619,0.671,0.0,0.317,89.252,2,Upbeat Happy Songs
0.744,0.439,0.424,0.0,0.39,124.008,2,Upbeat Happy Songs
0.869,0.298,0.2,0.0,0.178,77.47,2,Upbeat Happy Songs
0.247,0.299,0.899,0.0,0.172,177.115,2,Upbeat Happy Songs
0.369,0.397,0.806,0.000486,0.298,145.85,2,Upbeat Happy Songs
0.369,0.192,0.555,8.35e-06,0.148,175.212,2,Upbeat Happy Songs
0.369,0.272,0.866,0.0,0.218,172.929,2,Upbeat Happy Songs
0.494,0.254,0.512,0.0,0.357,105.004,2,Upbeat Happy Songs
0.494,0.632,0.682,0.0,0.0797,147.873,2,Upbeat Happy Songs
0.494,0.328,0.718,2.91e-06,0.206,121.834,2,Upbeat Happy Songs
0.494,0.454,0.669,0.0,0.242,130.628,2,Upbeat Happy Songs
0.494,0.556,0.433,0.0,0.325,85.986,2,Upbeat Happy Songs
0.494,0.413,0.682,6.72e-05,0.273,94.938,2,Upbeat Happy Songs
0.613,0.581,0.537,0.000345,0.551,130.033,2,Upbeat Happy Songs
0.613,0.426,0.516,0.0,0.129,129.644,2,Upbeat Happy Songs
0.613,0.369,0.621,0.0,0.31,83.024,2,Upbeat Happy Songs
0.613,0.526,0.373,0.0,0.412,142.055,2,Upbeat Happy Songs
0.613,0.615,0.308,0.0,0.342,86.782,2,Upbeat Happy Songs
0.738,0.455,0.695,0.0,0.441,99.945,2,Upbeat Happy Songs
