track_id,danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
3lZpvPprN56RWqDqrKy9vl,0.0,0.532,0.976,0.0,0.0,0.0,2,Upbeat Happy Songs
7rLDARtJALM7QdiJDMXW7m,0.25,0.215,0.632,0.0717,0.0746,174.824,2,Upbeat Happy Songs
4TbNLKRLKlxZDlS0pu7Lsy,0.25,0.136,0.673,0.000157,0.0981,118.086,2,Upbeat Happy Songs
6LtHYDgYHRCHoKK3snfr2w,0.375,0.133,0.651,0.0,0.192,131.721,2,Upbeat Happy Songs
60RFlt48hm0l4Fu0JoccOl,0.375,0.428,0.109,0.0,0.361,78.516,2,Upbeat Happy Songs
0M3ZIWNcizkhYFvn6RuCEz,0.375,0.556,0.4,0.0,0.397,111.827,2,Upbeat Happy Songs
44Du2IM1bGY7dicmLfXbUs,0.5,0.449,0.422,7.96e-06,0.104,144.206,2,Upbeat Happy Songs
2sXydP9vPEYUH4uAWotuGu,0.5,0.638,0.66,0.0,0.698,81.145,2,Upbeat Happy Songs
0IktbUcnAGrvD03AWnz3Q8,0.625,0.414,0.294,0.0,0.669,130.088,2,Upbeat Happy Songs
2n7Ao4nyESBa5ti8gcAbBt,0.625,0.581,0.553,0.00111,0.267,142.04,2,Upbeat Happy Songs
1ieouFxB2A3JjKEt1OoEiB,0.625,0.563,0.437,5.05e-06,0.364,120.023,2,Upbeat Happy Songs
6NFyWDv5CjfwuzoCkw47Xf,0.75,0.404,0.216,0.000357,0.0499,95.045,2,Upbeat Happy Songs
0AI0VW1BPoOel5Gtyo11wO,0.372,0.285,0.812,0.0,0.115,126.498,2,Upbeat Happy Songs
7uJH0YdSZL6psjxI6Xy08b,0.372,0.478,0.482,0.0,0.254,101.102,2,Upbeat Happy Songs
3B7EZgquNKHrSIo2tEc8mK,0.497,0.351,0.764,1.5e-06,0.492,105.032,2,Upbeat Happy Songs
5N96qwzTDhbf2y6FWAVz4c,0.497,0.386,0.784,0.927,0.695,81.774,2,Upbeat Happy Songs
1nVqoekaQFpFoXJEaainWJ,0.497,0.176,0.923,0.0,0.429,168.06,2,Upbeat Happy Songs
4tLNKzcRv95bWCtwNpH4w6,0.497,0.0971,0.951,0.0,0.396,141.555,2,Upbeat Happy Songs
01ppKlDRCmPpusO3yNrSRY,0.619,0.619,0.407,0.0,0.393,125.752,2,Upbeat Happy Songs
0XkZmBCCcdMY0EPY8ij6Gb,0.619,0.542,0.288,0.0,0.308,99.824,2,Upbeat Happy Songs
2dPwBKr5uJeCeyd5IoWi8W,0.619,0.564,0.673,0.0,0.419,129.944,2,Upbeat Happy Songs
3S8jK1mGzQi24ilFb45DAZ,0.619,0.241,0.9,0.0,0.0719,79.461,2,Upbeat Happy Songs
5CFJRZRq6sdKKtRwNPWbYv,0.619,0.589,0.43,0.000392,0.158,143.896,2,Upbeat Happy Songs
3CWq0pAKKTWb0K4yiglDc4,0.744,0.396,0.509,0.00319,0.18,102.969,2,Upbeat Happy Songs
7B3z0ySL9Rr0XvZEAjWZzM,0.744,0.619,0.598,0.00372,0.641,112.997,2,Upbeat Happy Songs
6AGON2BGdPmPMJGiiNuuwl,0.744,0.43,0.455,2.73e-06,0.266,92.039,2,Upbeat Happy Songs
1DmnEYXa4WfbdhAPwNzgD8,0.744,0.619,0.671,0.0,0.317,89.252,2,Upbeat Happy Songs
5Y3ID1NKAg8qydyVCrM7ji,0.744,0.439,0.424,0.0,0.39,124.008,2,Upbeat Happy Songs
3HD2dcCVCMIUgq3ZiSExpD,0.869,0.298,0.2,0.0,0.178,77.47,2,Upbeat Happy Songs
35ovElsgyAtQwYPYnZJECg,0.247,0.299,0.899,0.0,0.172,177.115,2,Upbeat Happy Songs
7mOYvqE4mvNWW0Oe3O9DxG,0.369,0.397,0.806,0.000486,0.298,145.85,2,Upbeat Happy Songs
3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,0.555,8.35e-06,0.148,175.212,2,Upbeat Happy Songs
5JCoSi02qi3jJeHdZXMmR8,0.369,0.272,0.866,0.0,0.218,172.929,2,Upbeat Happy Songs
7JqH46zlr7XV7vMBt4slE6,0.494,0.254,0.512,0.0,0.357,105.004,2,Upbeat Happy Songs
6Up545NUflOiXo8cEraH49,0.494,0.632,0.682,0.0,0.0797,147.873,2,Upbeat Happy Songs
1HwDRgozGBMyfJTQUfz09A,0.494,0.328,0.718,2.91e-06,0.206,121.834,2,Upbeat Happy Songs
64bs8pCgpueh0mFEKZWGXS,0.494,0.454,0.669,0.0,0.242,130.628,2,Upbeat Happy Songs
7qekEQyGFRim7qNhxzkaLo,0.494,0.556,0.433,0.0,0.325,85.986,2,Upbeat Happy Songs
2262bWmqomIaJXwCRHr13j,0.494,0.413,0.682,6.72e-05,0.273,94.938,2,Upbeat Happy Songs
