sweden,global
100.0,100.0
74.9,90.4
72.0,66.9
67.6,65.4
65.4,47.8
63.1,44.3
59.0,42.2
56.6,38.4
54.4,36.5
53.5,35.6
52.1,34.4
51.1,33.0
49.5,32.8
43.3,32.4
42.1,31.0
41.1,27.7
41.1,27.6
40.5,27.4
40.4,27.2
39.3,27.0
38.1,26.6
35.9,26.0
35.8,25.8
35.7,25.1
34.9,24.7
34.5,24.5
34.3,24.2
34.1,23.8
33.6,23.8
32.4,23.7
32.2,23.7
31.1,23.7
30.3,23.7
29.1,23.7
28.3,23.2
28.3,23.1
27.5,23.0
27.5,22.8
27.4,22.6
27.0,22.4
26.9,22.4
26.9,22.3
26.8,21.7
26.8,21.5
26.4,21.4
25.8,21.3
25.7,21.1
25.2,21.0
24.7,20.7
24.7,20.3
24.6,20.1
24.6,20.0
24.5,19.9
24.3,19.7
24.0,19.5
23.6,19.3
23.5,19.1
23.4,18.8
23.1,18.7
23.0,18.6
22.5,18.6
22.4,18.4
22.3,18.3
22.1,18.2
22.0,18.2
22.0,17.8
21.8,17.8
21.6,17.7
21.2,17.7
21.2,17.6
20.9,17.6
20.8,17.5
20.7,17.4
20.7,17.3
20.7,17.3
20.7,17.2
20.7,17.1
20.7,17.1
20.6,16.9
20.4,16.8
20.4,16.5
20.3,16.5
20.3,16.4
20.3,16.2
20.2,16.2
20.1,16.0
20.0,15.9
20.0,15.8
19.8,15.8
19.8,15.6
19.8,15.6
19.5,15.5
19.4,15.5
19.4,15.4
19.0,15.4
18.9,15.4
18.8,15.4
18.8,15.3
18.7,15.3
