track_id,genres
4zmKGsrXjLmljb5fTaBTot,"art pop, pop"
6GGtHZgBycCgGBUhZo81xe,"art pop, pop"
22DH8NChecsgPxDjA4pqer,"art pop, rap, melodic rap, pop, atl hip hop, trap"
7JVNRVPeXFAOdMrxOHNjVv,"art pop, metropopolis, indietronica, pop, shimmer pop, nu disco"
24jvD83UgLmrdGjhWTFslY,"art pop, pop"
2nMeu6UenVvwUktBCpLMK9,"art pop, pop"
6PUIzlqotEmPuBfjbwYWOB,"art pop, pop dance, progressive electro house, electro house, edm, dutch house, pop"
5Y6nVaayzitvsD5F7nr3DV,"art pop, pop"
4VSg5K1hnbmIg4PwRdY6wV,"art pop, pop"
1y3r6RXiJZNBV1EI0NggpS,"art pop, pop"
7g3htkaLz4ETFn0cifwM3y,"art pop, pop"
1gZADNt16Oh23jWyMYRk4p,"canadian pop, pop, art pop, canadian contemporary r&b"
4EDijkJdHBZZ0GwJ12iTAj,"canadian pop, pop, art pop, canadian contemporary r&b"
2Kerz9H9IejzeIpjhDJoYG,"art pop, pop"
0mt02gJ425Xjm7c3jYkOBn,"art pop, canadian pop, pop, canadian contemporary r&b"
0Oqc0kKFsQ6MhFOLBNZIGX,"art pop, pop"
6zegtH6XXd2PDPLvy1Y0n2,"art pop, pop"
2e9EZ2V5QGGZPMJacO3y0Y,"rap, southern hip hop, dirty south rap, pop rap, atl hip hop, atl trap, trap"
2aYguRih2pKaKXiW7UFrbA,
1EiwZsCTu8cGSRdog30oYY,"contemporary country, urban contemporary, country, barbadian pop, pop, talent show, permanent wave, heartland rock, musical advocacy, ectofolk, hip pop, r&b, british soul, classic oklahoma country, dance pop, pop rock, lilith, singer-songwriter, post-teen pop, new wave pop, country dawn, neo soul, country road"
2dxjKgT0li4qBI3QwuN9Ih,"rap, political hip hop, hip hop, southern hip hop, pop rap, conscious hip hop, chicago rap"
6nz35DNIzbtj5ztpDEcW1j,"political hip hop, rap, hip hop, southern hip hop, pop rap, conscious hip hop, chicago rap"
0hkRONsyMGzkhJGc56L5v0,"political hip hop, rap, hip hop, southern hip hop, pop rap, conscious hip hop, chicago rap"
4NTWZqvfQTlOMitlVn6tew,"political hip hop, rap, hip hop, southern hip hop, pop rap, conscious hip hop, chicago rap"
5AcOdoDOQOKtPlAM1FqBO8,"political hip hop, rap, hip hop, southern hip hop, viral pop, pop rap, piano rock, conscious hip hop, chicago rap"
5Cs55JEAsk7oSLnniBwI2x,"political hip hop, rap, hip hop, southern hip hop, pop rap, conscious hip hop, chicago rap"
4Nomj38R7Ds0P8I8orW2Tv,"political hip hop, rap, hip hop, southern hip hop, dance pop, pop rap, urban contemporary, r&b, conscious hip hop, chicago rap, trap"
2Vba5MBCdGqcE57GSiOstv,"political hip hop, rap, hip hop, southern hip hop, pop rap, conscious hip hop, chicago rap"
3n0Y5ZSF6FqzP2ZGW9Fh3D,"political hip hop, rap, hip hop, southern hip hop, pop rap, conscious hip hop, chicago rap"
1hWYT0w2R0J19rlVkiez7X,"political hip hop, rap, hip hop, southern hip hop, australian pop, pop rap, conscious hip hop, chicago rap"
72FdcAg79So8xaAHs2mbrB,"political hip hop, rap, hip hop, southern hip hop, singer-songwriter pop, pop rap, pop, uk pop, conscious hip hop, chicago rap"
35Y18Dv2pAiJ7v0Zou9gxI,
6q4aoWgTQ8td2AvqQXuFqm,"alternative metal, alternative rock, post-grunge, nu metal, grunge, industrial metal"
0iU9Qfn7hoJHbBleOaMOAt,"alternative metal, alternative rock, post-grunge, nu metal, grunge, industrial metal"
0l7DPAKQVayEz9FXC9di2e,"rap, dance pop, hip hop, st louis rap, chopped and screwed, dirty south rap, houston rap, gangster rap, pop rap, crunk, urban contemporary"
3KGQPtjS7kjEwMizD1bvC8,pop r&b
1JURww012QnWAw0zZXi6Aa,"pixie, boy band, neon pop punk"
7dFSHwa7BNZvWlOuYsvFpy,"contemporary country, country road, country dawn, country"
4TWDBIZt5tJwEqyNYPCY4V,"contemporary country, country road, country dawn, country"
2KvHHiBqpPUlgbKqCJ7Ip4,"contemporary country, country road, country dawn, country"
27BMLvWD1TYdosiReVgbAt,"contemporary country, country road, country dawn, country"
4kLzo3exwh18YxYqBxLsuX,"contemporary country, country road, country dawn, country"
4SqWKzw0CbA05TGszDgMlc,"chicago indie, pov: indie"
24bnCCysWnbNRNUT4LpHcP,"rap, southern hip hop, hip hop, pop rap, trap soul, r&b, chicago rap, trap"
454Epa1vrCGFddHXKyC1kb,"rap, hip hop, chicago rap"
0FJdg6Fh9Js4XmbnML18ZZ,"dance pop, pop"
2L6orAlH8tBhiFTumIfMyF,"aussietronica, melbourne bounce"
4ZUuOMlV8T3bNaiEwtoR3L,"contemporary r&b, new jack swing"
2seY1Vy7jidW4bxk98n2eh,"contemporary r&b, new jack swing"
3k6L0H08zSY5yRDgqI8fqx,"alternative metal, alternative rock, permanent wave, grunge, rock, funk metal, nu metal, funk rock"
5lJx5eiSahFfsqkMJVlkDN,"dance pop, pop rap, dancehall, dancehall queen, pop"
6Vdyu21iT8qScU1haSjWUU,"rap, trap queen, pop r&b, trap, melodic rap, atl hip hop, scam rap, atl trap"
2fE1hcjUxlLxXrZusTEJlq,"southern hip hop, gangster rap, pop rap, nyc rap, harlem hip hop, hip pop, east coast hip hop, battle rap, trap"
6jmTHeoWvBaSrwWttr8Xvu,"rap, oakland hip hop, slow game, pop rap, indie pop rap"
40YcuQysJ0KlGQTeGUosTC,"rap, dance pop, oakland hip hop, pop rap, pop, indie pop rap"
422lAAWQO9TqL1LxIPdhOn,"rap, pop rap, oakland hip hop, indie pop rap"
5sv4LTz8qayQYnXlzaxg2x,"rap, oakland hip hop, pop rap, melodic rap, canadian hip hop, indie pop rap, r&b, canadian trap, trap"
6KI1ZpZWYAJLvmVhCJz65G,"rap, oakland hip hop, pop rap, r&b, indie pop rap"
7JGoiIouGqreRXOrHFAIyr,"rap, dance pop, oakland hip hop, pop rap, pop, indie pop rap"
1Bqxj0aH5KewYHKUg1IdrF,"rap, pop rap, oakland hip hop, indie pop rap"
1Eck97uRMlprKOOJN9oO1E,"rap, oakland hip hop, pop rap, pop, r&b, indie pop rap"
2DQ1ITjI0YoLFzuADN1ZBW,"rap, hip hop, oakland hip hop, pop rap, pop, indie pop rap, east coast hip hop"
7fOPVfABNLg3sxtgXBhBdp,"rap, pop rap, oakland hip hop, indie pop rap"
2lNdc3jjPV4aWEfKH0gvH2,"rap, oakland hip hop, pop rap, electropop, pop, indie pop rap, indie poptimism, etherpop"
688QpQAwqsLdBR6lr13wK1,"rap, southern hip hop, hip hop, oakland hip hop, pop rap, melodic rap, dfw rap, pop, indie pop rap, cali rap, trap"
794QVQtFNy7hvtjQP1keQd,"rap, southern hip hop, tennessee hip hop, oakland hip hop, dirty south rap, gangster rap, pop rap, alabama rap, memphis hip hop, indie pop rap, trap"
40m90E8cUI3fsUczVj0PUs,"rap, oakland hip hop, pop rap, alt z, pop, indie pop rap"
0tQmgwFKw9069z1BXniOiA,"rap, oakland hip hop, pop rap, indie pop rap, r&b, british soul"
5hc4uC9JxovPgPF3xRHUEV,"classic oklahoma country, contemporary country, country dawn, country road, country"
66ZBkOR0Q2bQEM42Pbj7hQ,"classic oklahoma country, contemporary country, country dawn, country road, country"
7DNp5wliOrg01iwvUnL3Tn,"classic oklahoma country, contemporary country, country dawn, country road, country"
4m3VFxVwSPk8VGoA9qcLRC,"classic oklahoma country, contemporary country, country dawn, country road, country"
46a3BjDPBdi6OngVhTkuM6,"classic oklahoma country, contemporary country, country dawn, country road, country"
21gIIm2pGR0VK36gLVvY26,"classic oklahoma country, contemporary country, country dawn, country road, country"
5LGEfWqwgYL16tyXkrRC8J,"dance pop, talent show, classic oklahoma country, contemporary country, pop, country dawn, country road, country"
6DuRbVj7iCZeMuMYldivIQ,"classic oklahoma country, contemporary country, country dawn, country road, country"
3aPu8Pt9F18y7O7AbzsC02,"classic oklahoma country, contemporary country, country dawn, country road, country"
50Wf9mPOJW1zIfHNtKm7Z8,"classic oklahoma country, contemporary country, country dawn, country road, country"
6A2hvKTF2FShj0Yma7CP8N,"classic oklahoma country, contemporary country, country dawn, country road, country"
5o6dFqafETxZNqUFt9ZqAC,"country, christian alternative rock, modern country rock, ccm, contemporary country, christian music, country dawn, country road, classic oklahoma country"
59xyRqG06dGbTmmJFVFbyQ,"dirty south rap, southern hip hop, atl hip hop"
3x5VSzCT9x9LB6uPomLZXs,"contemporary country, country road"
63w0QA1wiV7QhF9jeiHETF,"contemporary country, country road"
7CMIy0uwXyeBv2MvaEUJM1,post-teen pop
1DH1DGQzth0K6YouejlNLY,"gospel r&b, gospel"
56H98l4uinRifnTH8e308N,"rap, hip hop, alternative rock, golden age hip hop, rap rock, rock, east coast hip hop, old school hip hop"
0Puj4YlTm6xNzDDADXHMI9,"rap, hip hop, alternative rock, golden age hip hop, rap rock, rock, east coast hip hop, old school hip hop"
4WtkYdCG4n80h08Ep5SmDI,"country pop, modern country rock"
2Xr1dTzJee307rmrkt8c0g,"afro r&b, afrobeats"
6clrpCeCKy6A0Tda4Tq3Ha,
0MwkywJbKkouaclKZ0WjPA,
52vS7mJ0a70Z4uRCfl8SjH,"pop, post-teen pop"
2n3CaPGPLYnYAvTEwKCX8t,"dance pop, pop, miami hip hop, post-teen pop"
2u7mxWSeoqTXndK5e08jMp,"pop rap, melodic rap"
3ZhTT6yjZwpPph5MIJ53XY,"pop rap, melodic rap"
4V9JDRqKjN8F2HWdlEDxvI,pop
6ECp64rv50XVz93WvxXMGF,pop
7sapKrjDij2fpDVj0GxP66,pop
5qII2n90lVdPDcgXEEVHNy,pop
1lHXlGlve5Zx8tXLhyjDwM,pop
1zqllQUMCgMaInr0CzFVll,pop
0tuyEYTaqLxE41yGHSsXjy,pop
1rhHkjoNw3EPUG4qAuGZih,"urban contemporary, pop, barbadian pop"
6KBYk8OFtod7brGuZ3Y67q,pop
2TRuBFYZYw0Q7qIVBhqR1T,pop
7zmJyZL3DfYBBYbY8Rve6W,pop
4ucLHLiSjvkCz5Lr5dlVUj,pop
7LcfRTgAVTs5pQGEQgUEzN,"dance pop, pop"
7A4KjSFDx0BL75up2eK0OF,"pop, pop soul"
1LmN9SSHISbtp9LoaR5ZVJ,"rap, pittsburgh rap, hip hop, southern hip hop, pop rap, pop, trap"
4XNrMwGx1SqP01sqkGTDmo,pop
1c2MXiju7DNPSfsKoVbHlg,pop
5zFglKYiknIxks8geR8rcL,"rap, houston rap, pop, trap queen"
6TwfdLbaxTKzQi3AgsZNzx,pop
0HnaqUxvHP5LaWdmWwJpiS,pop
4gbVRS8gloEluzf0GzDOFc,pop
2PLo8T3kGE9URFvBy3tUdt,pop
